protocol,model,max_tokens,evidence_truncated,threshold_table,sample_type,is_correct,predicted_decision,action,parse_status,error_probability
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,INCONCLUSIVE,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
A1,Llama-3.3-70b,300,True,True,natural,1,SUPPORTED,COMMIT,full,0.301
